id,positionClass,powerClass,words,frequent,score
1,1,skill,分析,3616,100
2,1,skill,語文,2918,80.7836
3,1,skill,行政,1348,37.5606
4,1,skill,英文,1039,29.0537
5,1,skill,作業,932,26.1079
6,1,skill,Excel,971,27.1816
7,1,skill,資料,875,24.5387
8,1,skill,Word,802,22.5289
9,1,skill,訓練,705,19.8585
10,1,skill,銷售,701,19.7483
11,1,skill,駕照,694,19.5556
12,1,skill,業務,691,19.473
13,1,skill,客服,667,18.8123
14,1,skill,規劃,656,18.5095
15,1,skill,金融,583,16.4997
16,1,skill,溝通,558,15.8115
17,1,skill,交辦,536,15.2058
18,1,skill,PowerPoint,536,15.2058
19,1,skill,顧問,531,15.0681
20,1,skill,保險,525,14.9029
21,1,skill,專案,449,12.8106
22,1,skill,事務,446,12.728
23,1,skill,中文,419,11.9847
24,1,skill,打字,417,11.9296
25,1,skill,文書,407,11.6543
26,1,skill,經營,406,11.6268
27,1,skill,帳務,402,11.5167
28,1,skill,餐飲,387,11.1037
29,1,skill,專櫃,386,11.0762
30,1,skill,Outlook,353,10.1677
31,1,skill,人事,350,10.0851
32,1,skill,商業,339,9.78226
33,1,skill,行銷,327,9.45189
34,1,skill,仲介,325,9.39683
35,1,skill,系統,301,8.7361
36,1,skill,協調,286,8.32314
37,1,skill,介紹,257,7.52475
38,1,skill,聯絡,214,6.34093
39,1,skill,軟體,212,6.28587
40,1,skill,記帳,211,6.25834
41,1,skill,台語,202,6.01057
42,1,skill,採購,186,5.57008
43,1,skill,電信,175,5.26724
44,1,skill,整合,172,5.18465
45,1,skill,計畫,171,5.15712
46,1,skill,研發,163,4.93687
47,1,skill,日文,153,4.66157
48,1,skill,計算,150,4.57898
49,1,skill,餐廚,145,4.44132
50,1,skill,收銀,136,4.19355
51,1,skill,建檔,136,4.19355
52,1,skill,報告,136,4.19355
53,1,skill,財務會計,132,4.08343
54,1,skill,解說,118,3.698
55,1,skill,財稅,118,3.698
56,1,skill,Windows,117,3.67047
57,1,skill,包裝,116,3.64294
58,1,skill,記錄,92,2.9822
59,1,skill,Office,84,2.76196
60,1,skill,評估,81,2.67937
61,1,skill,財會,80,2.65184
62,1,skill,調查,78,2.59677
63,1,skill,ERP,78,2.59677
64,1,skill,投資,78,2.59677
65,1,skill,外商,77,2.56924
66,1,skill,詢問,77,2.56924
67,1,skill,法務,77,2.56924
68,1,skill,法規,77,2.56924
69,1,skill,專利,76,2.54171
70,1,skill,理財,74,2.48665
71,1,skill,理賠,51,1.85345
72,1,skill,查核,51,1.85345
73,1,skill,檢討,51,1.85345
74,1,skill,Adobe,51,1.85345
75,1,skill,TOEIC,48,1.77086
76,1,skill,查帳,48,1.77086
77,1,skill,電機,46,1.7158
78,1,skill,倉管,46,1.7158
79,1,skill,Internet,40,1.55061
80,1,skill,Explorer,40,1.55061
81,1,skill,倉庫,39,1.52308
82,1,skill,English,39,1.52308
83,1,skill,出勤,39,1.52308
84,1,skill,口條,37,1.46802
85,1,skill,辦公軟體,34,1.38543
86,1,skill,英語,33,1.3579
87,1,skill,清潔維護,29,1.24778
88,1,skill,財務,28,1.22024
89,1,skill,規範,28,1.22024
90,1,skill,收支,28,1.22024
91,1,skill,Acrobat,28,1.22024
92,1,skill,應變,27,1.19271
93,1,skill,監督,27,1.19271
94,1,skill,調貨,27,1.19271
95,1,skill,SAP,26,1.16518
96,1,skill,Photoshop,25,1.13765
97,1,skill,熟電腦,24,1.11012
98,1,skill,前置,24,1.11012
99,1,skill,轉接,24,1.11012
100,1,skill,XP,24,1.11012
101,1,skill,談判,23,1.08259
102,1,skill,文案,23,1.08259
103,1,skill,development,23,1.08259
104,1,skill,創意,23,1.08259
105,1,skill,文教,23,1.08259
106,1,skill,建築,23,1.08259
107,1,skill,外語,23,1.08259
108,1,skill,維護,23,1.08259
109,1,skill,連絡,23,1.08259
110,1,skill,帳務作業,23,1.08259
111,1,skill,商學,22,1.05506
112,1,skill,規畫,21,1.02753
113,1,skill,推廣,20,1
114,1,skill,核銷,20,1
115,1,experience,管理,7945,100
116,1,experience,出差,4868,61.5521
117,1,experience,外派,4673,59.1155
118,1,experience,大學,1805,23.2791
119,1,experience,專科,1482,19.2431
120,1,experience,服務,1114,14.6448
121,1,experience,就業,1020,13.4703
122,1,experience,經驗,1006,13.2953
123,1,experience,二度,1001,13.2329
124,1,experience,高中,992,13.1204
125,1,experience,助理,872,11.621
126,1,experience,訓練,705,9.53427
127,1,experience,行政助理,613,8.3847
128,1,experience,顧問,531,7.36009
129,1,experience,保險,525,7.28512
130,1,experience,派遣,510,7.09769
131,1,experience,碩士,503,7.01022
132,1,experience,財務,459,6.46043
133,1,experience,員工,448,6.32298
134,1,experience,經營,406,5.79818
135,1,experience,帳務,402,5.7482
136,1,experience,餐飲,387,5.56077
137,1,experience,專櫃,386,5.54828
138,1,experience,秘書,337,4.93601
139,1,experience,培訓,325,4.78607
140,1,experience,服務生,306,4.54866
141,1,experience,證照,303,4.51117
142,1,experience,工程,300,4.47368
143,1,experience,資訊,277,4.18629
144,1,experience,服務人員,264,4.02385
145,1,experience,法律,177,2.93677
146,1,experience,會計學,166,2.79932
147,1,experience,無經驗,149,2.5869
148,1,experience,案件,148,2.5744
149,1,experience,貿易,106,2.0496
150,1,experience,財務人員,93,1.88716
151,1,experience,專利,76,1.67474
152,1,experience,行銷人員,74,1.64975
153,1,experience,experience,69,1.58728
154,1,experience,HR,68,1.57478
155,1,experience,經驗佳,47,1.31238
156,1,experience,班導師,23,1.0125
157,1,experience,貨營業員,23,1.0125
158,1,experience,外勤,22,1
159,1,trait,責任,4526,100
160,1,trait,精通,1124,25.2225
161,1,trait,負責,942,21.222
162,1,trait,溝通,558,12.7815
163,1,trait,積極,370,8.6492
164,1,trait,熱忱,316,7.46226
165,1,trait,細心,297,7.04463
166,1,trait,主動,222,5.39609
167,1,trait,熱情,142,3.63766
168,1,trait,認真,119,3.1321
169,1,trait,耐心,119,3.1321
170,1,trait,獨立,115,3.04418
171,1,trait,優秀,115,3.04418
172,1,trait,親切,110,2.93428
173,1,trait,穩定,106,2.84636
174,1,trait,抗壓性,97,2.64853
175,1,trait,親民,96,2.62655
176,1,trait,挑戰,95,2.60457
177,1,trait,具服務,95,2.60457
178,1,trait,抗壓,95,2.60457
179,1,trait,清晰,85,2.38477
180,1,trait,實務,82,2.31883
181,1,trait,溝通協調,82,2.31883
182,1,trait,快樂,82,2.31883
183,1,trait,活潑,73,2.121
184,1,trait,分享,70,2.05506
185,1,trait,責任感,65,1.94516
186,1,trait,企圖心,59,1.81328
187,1,trait,邏輯,51,1.63743
188,1,trait,樂觀,46,1.52753
189,1,trait,進取,46,1.52753
190,1,trait,耐勞,40,1.39565
191,1,trait,EQ,39,1.37367
192,1,trait,communication,38,1.35169
193,1,trait,快速,37,1.32971
194,1,trait,謹慎,37,1.32971
195,1,trait,誠信,36,1.30773
196,1,trait,激勵,34,1.26377
197,1,trait,面對,34,1.26377
198,1,trait,負責任,34,1.26377
199,1,trait,勤快,33,1.24179
200,1,trait,熱誠,33,1.24179
201,1,trait,心細,32,1.2198
202,1,trait,關懷,31,1.19782
203,1,trait,靈敏,23,1.02198
204,1,trait,維護,23,1.02198
205,1,trait,親和力,23,1.02198
206,1,trait,吃苦,22,1
207,2,skill,語文,1400,100
208,2,skill,銷售,1039,74.0834
209,2,skill,行銷,980,69.8477
210,2,skill,英文,584,41.4184
211,2,skill,機車,437,30.8651
212,2,skill,專案,428,30.219
213,2,skill,駕照,426,30.0754
214,2,skill,Excel,318,22.322
215,2,skill,PowerPoint,232,16.1479
216,2,skill,支援,212,14.7121
217,2,skill,台語,195,13.4917
218,2,skill,網站,171,11.7687
219,2,skill,資料,162,11.1226
220,2,skill,廣告,160,10.979
221,2,skill,媒體,160,10.979
222,2,skill,維護,156,10.6918
223,2,skill,金融,151,10.3328
224,2,skill,推廣,131,8.89703
225,2,skill,技巧,130,8.82524
226,2,skill,整合,129,8.75344
227,2,skill,科技,125,8.46628
228,2,skill,電子,125,8.46628
229,2,skill,數位,125,8.46628
230,2,skill,電腦,123,8.3227
231,2,skill,分配,115,7.74837
232,2,skill,汽車,98,6.52792
233,2,skill,經銷,69,4.44598
234,2,skill,檢查,69,4.44598
235,2,skill,文案,68,4.37418
236,2,skill,交通工具,52,3.22553
237,2,skill,management,49,3.01015
238,2,skill,企管,49,3.01015
239,2,skill,接聽,48,2.93836
240,2,skill,sales,46,2.79478
241,2,skill,簡報,46,2.79478
242,2,skill,電機,43,2.57941
243,2,skill,數據,39,2.29224
244,2,skill,SAP,39,2.29224
245,2,skill,Marketing,37,2.14866
246,2,skill,Adobe,36,2.07687
247,2,skill,data,35,2.00508
248,2,skill,倉儲,33,1.86149
249,2,skill,領導,32,1.7897
250,2,skill,SQL,28,1.50254
251,2,skill,遊戲,28,1.50254
252,2,skill,Office,27,1.43075
253,2,skill,TOEIC,26,1.35896
254,2,skill,Photoshop,25,1.28716
255,2,skill,美編,24,1.21537
256,2,skill,asp,24,1.21537
257,2,skill,Internet,22,1.07179
258,2,skill,程式,22,1.07179
259,2,skill,Account,22,1.07179
260,2,skill,管控,21,1
261,2,skill,XP,21,1
262,2,experience,管理,4494,100
263,2,experience,銷售,1039,23.5483
264,2,experience,行銷,980,22.2427
265,2,experience,服務,977,22.1764
266,2,experience,大學,844,19.2333
267,2,experience,專科,685,15.715
268,2,experience,高中,534,12.3737
269,2,experience,市場,430,10.0724
270,2,experience,專案,428,10.0282
271,2,experience,客服,414,9.71837
272,2,experience,顧客,359,8.50134
273,2,experience,碩士,269,6.50983
274,2,experience,行政,261,6.33281
275,2,experience,顧問,216,5.33706
276,2,experience,業務人員,208,5.16004
277,2,experience,經驗,251,6.11153
278,2,experience,網站,171,4.34131
279,2,experience,保險,162,4.14215
280,2,experience,廣告,160,4.0979
281,2,experience,媒體,160,4.0979
282,2,experience,維護,156,4.00939
283,2,experience,知識,155,3.98726
284,2,experience,金融,151,3.89875
285,2,experience,推廣,131,3.45619
286,2,experience,整合,129,3.41194
287,2,experience,科技,125,3.32342
288,2,experience,電子,125,3.32342
289,2,experience,數位,125,3.32342
290,2,experience,電腦,123,3.27917
291,2,experience,分配,115,3.10215
292,2,experience,食品,97,2.70384
293,2,experience,公關,97,2.70384
294,2,experience,經銷,69,2.08426
295,2,experience,文案,68,2.06214
296,2,experience,experience,68,2.06214
297,2,experience,management,49,1.64171
298,2,experience,企管,49,1.64171
299,2,experience,行政助理,48,1.61958
300,2,experience,負責產品,48,1.61958
301,2,experience,接聽,48,1.61958
302,2,experience,清潔維護,46,1.57532
303,2,experience,sales,46,1.57532
304,2,experience,簡報,46,1.57532
305,2,experience,電機,43,1.50894
306,2,experience,ERP,37,1.37617
307,2,experience,Marketing,37,1.37617
308,2,experience,倉儲,33,1.28766
309,2,experience,領導,32,1.26553
310,2,experience,談判,28,1.17702
311,2,experience,遊戲,28,1.17702
312,2,experience,Office,27,1.15489
313,2,experience,Photoshop,25,1.11064
314,2,experience,美編,24,1.08851
315,2,experience,asp,24,1.08851
316,2,experience,Internet,22,1.04426
317,2,experience,English,22,1.04426
318,2,experience,程式,22,1.04426
319,2,experience,統計,22,1.04426
320,2,experience,Account,22,1.04426
321,2,experience,推廣,21,1.02213
322,2,experience,管控,21,1.02213
323,2,experience,設計師,20,1
324,2,trait,責任,2586,100
325,2,trait,負責,546,21.2938
326,2,trait,溝通,413,16.1625
327,2,trait,熱忱,251,9.91231
328,2,trait,熱情,230,9.1021
329,2,trait,協調,209,8.29189
330,2,trait,挑戰,160,6.4014
331,2,trait,喜歡,156,6.24708
332,2,trait,活潑,128,5.1668
333,2,trait,企圖心,103,4.20226
334,2,trait,親切,103,4.20226
335,2,trait,熱愛,102,4.16368
336,2,trait,具服務,97,3.97077
337,2,trait,抗壓性,87,3.58496
338,2,trait,激勵,80,3.31489
339,2,trait,細心,64,2.69758
340,2,trait,清晰,58,2.4661
341,2,trait,抗壓,43,1.88737
342,2,trait,樂觀,41,1.81021
343,2,trait,邏輯,40,1.77163
344,2,trait,耐心,39,1.73305
345,2,trait,創意,38,1.69447
346,2,trait,認真,37,1.65588
347,2,trait,活力,36,1.6173
348,2,trait,笑容,33,1.50156
349,2,trait,親和力,32,1.46298
350,2,trait,流利,31,1.4244
351,2,trait,communication,31,1.4244
352,2,trait,責任感,28,1.30865
353,2,trait,企圖,20,1
354,2,trait,EQ,20,1
355,2,trait,耐勞,20,1
356,3,Skill,英美,63,100
357,3,Skill,口譯,62,97.6977
358,3,Skill,遊戲,62,97.6977
359,3,Skill,CSS,59,90.7907
360,3,Skill,蒐集,59,90.7907
361,3,Skill,編寫,59,90.7907
362,3,Skill,剪輯,58,88.4884
363,3,Skill,打字,58,88.4884
364,3,Skill,Windows,57,86.186
365,3,Skill,文編,57,86.186
366,3,Skill,TOEIC,55,81.5814
367,3,Skill,2D,54,79.2791
368,3,Skill,GEPT,53,76.9767
369,3,Skill,印刷,51,72.3721
370,3,Skill,文宣,51,72.3721
371,3,Skill,DM,49,67.7674
372,3,Skill,CorelDraw,47,63.1628
373,3,Skill,指導,47,63.1628
374,3,Skill,介面,47,63.1628
375,3,Skill,宣傳,46,60.8605
376,3,Skill,Dreamweaver,43,53.9535
377,3,Skill,剪接,41,49.3488
378,3,Skill,jQuery,40,47.0465
379,3,Skill,採訪,40,47.0465
380,3,Skill,Internet,38,42.4419
381,3,Skill,統合,38,42.4419
382,3,Skill,統計,38,42.4419
383,3,Skill,English,37,40.1395
384,3,Skill,測試,37,40.1395
385,3,Skill,RWD,37,40.1395
386,3,Skill,拍攝,37,40.1395
387,3,Skill,扮演,37,40.1395
388,3,Skill,InDesign,37,40.1395
389,3,Skill,PHP,37,40.1395
390,3,Skill,Sketch,36,37.8372
391,3,Skill,協助解決,36,37.8372
392,3,Skill,教務,35,35.5349
393,3,Skill,人文,35,35.5349
394,3,Skill,Designer,35,35.5349
395,3,Skill,JavaScript,55,81.5814
396,3,Skill,企畫,35,35.5349
397,3,Skill,修圖,33,30.9302
398,3,Skill,簡報,32,28.6279
399,3,Skill,Acrobat,30,24.0233
400,3,Skill,中英文,29,21.7209
401,3,Skill,EDM,29,21.7209
402,3,Skill,CAD,29,21.7209
403,3,Skill,Web,27,17.1163
404,3,Skill,報告,25,12.5116
405,3,Skill,Flash,25,12.5116
406,3,Skill,Premiere,25,12.5116
407,3,Skill,控管,25,12.5116
408,3,Skill,溝通協調,24,10.2093
409,3,Skill,採購,24,10.2093
410,3,Skill,編譯,23,7.90698
411,3,Skill,research,22,5.60465
412,3,Skill,培養,22,5.60465
413,3,Skill,掌控,22,5.60465
414,3,Skill,CTI,22,5.60465
415,3,Skill,採編,22,5.60465
416,3,Skill,facebook,21,3.30233
417,3,Skill,CIS,21,3.30233
418,3,Skill,XP,21,3.30233
419,3,Skill,分派,20,1
420,3,Skill,外國語文,20,1
421,3,experience,管理,2983,100
422,3,experience,設計,2751,92.2458
423,3,experience,分析,1364,45.8876
424,3,experience,老師,976,32.9193
425,3,experience,大學,707,23.9284
426,3,experience,補習,696,23.5608
427,3,experience,專科,582,19.7505
428,3,experience,經驗,561,19.0486
429,3,experience,教育,506,17.2103
430,3,experience,設計師,494,16.8092
431,3,experience,網頁,442,15.0712
432,3,experience,教學,420,14.3359
433,3,experience,繪圖,399,13.634
434,3,experience,行銷,389,13.2998
435,3,experience,行政,273,9.42269
436,3,experience,二度,272,9.38926
437,3,experience,美術,269,9.28899
438,3,experience,碩士,267,9.22215
439,3,experience,研究,263,9.08845
440,3,experience,教師,256,8.85449
441,3,experience,高中,235,8.1526
442,3,experience,經驗,211,7.35044
443,3,experience,專案,207,7.21675
444,3,experience,媒體,202,7.04963
445,3,experience,藝術,199,6.94936
446,3,experience,經營社群,136,4.84369
447,3,experience,文理,123,4.40918
448,3,experience,機械,122,4.37576
449,3,experience,程式,120,4.30891
450,3,experience,資訊,104,3.77414
451,3,experience,攝影,103,3.74072
452,3,experience,講師,103,3.74072
453,3,experience,課輔,103,3.74072
454,3,experience,保育,87,3.20594
455,3,experience,業務,84,3.10567
456,3,experience,銷售,75,2.80486
457,3,experience,數學,75,2.80486
458,3,experience,建築,64,2.4372
459,3,experience,口譯,62,2.37036
460,3,experience,記者,62,2.37036
461,3,experience,蒐集,59,2.27009
462,3,experience,編寫,59,2.27009
463,3,experience,數理,57,2.20324
464,3,experience,傳播,51,2.0027
465,3,experience,美術學,49,1.93585
466,3,experience,指導,47,1.86901
467,3,experience,保母,44,1.76874
468,3,experience,博士,43,1.73531
469,3,experience,剪接,41,1.66847
470,3,experience,通路,41,1.66847
471,3,experience,新聞,41,1.66847
472,3,experience,教練,41,1.66847
473,3,experience,統計,38,1.5682
474,3,experience,人文,35,1.46793
475,3,experience,企畫,35,1.46793
476,3,experience,experience,33,1.40108
477,3,experience,修圖,33,1.40108
478,3,experience,報告,25,1.13369
479,3,experience,商務,25,1.13369
480,3,experience,帶班,25,1.13369
481,3,experience,財經,24,1.10027
482,3,experience,research,22,1.03342
483,3,experience,美學,21,1
484,3,trait,責任,2279,100
485,3,trait,溝通,347,15.3307
486,3,trait,負責,235,10.4223
487,3,trait,配合,227,10.0717
488,3,trait,創意,168,7.48606
489,3,trait,積極,129,5.77689
490,3,trait,獨立,118,5.29482
491,3,trait,熱忱,115,5.16335
492,3,trait,協調,110,4.94422
493,3,trait,耐心,97,4.3745
494,3,trait,細心,89,4.0239
495,3,trait,熱情,80,3.62948
496,3,trait,照顧,72,3.27888
497,3,trait,互動,71,3.23506
498,3,trait,主動,67,3.05976
499,3,trait,挑戰,59,2.70916
500,3,trait,思考,57,2.62151
501,3,trait,美感,53,2.44622
502,3,trait,解決,52,2.40239
503,3,trait,獨立,46,2.13944
504,3,trait,表達,40,1.87649
505,3,trait,抗壓性,40,1.87649
506,3,trait,邏輯,40,1.87649
507,3,trait,創新,39,1.83267
